car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,price_per_horsepower,price_per_enginesize
28,1,dodge coronet custom,gas,turbo,2,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,83.90196078431373,87.3265306122449
29,-1,dodge dart custom,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,101.375,73.12295081967213
30,3,dodge coronet custom (sw),gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,89.40689655172413,83.1025641025641
31,2,honda civic,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,111.70689655172414,70.42391304347827
32,2,honda civic cvcc,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,90.19736842105263,74.51086956521739
33,1,honda civic,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,89.98333333333333,68.34177215189874
34,1,honda accord cvcc,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,85.90789473684211,70.96739130434783
35,1,honda civic cvcc,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,93.80263157894737,77.48913043478261
36,0,honda accord lx,gas,std,4,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,95.98684210526316,79.29347826086956
37,0,honda civic 1500 gl,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,95.98684210526316,79.29347826086956
38,0,honda accord,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,91.80232558139535,71.77272727272727
39,0,honda civic 1300,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,105.75581395348837,82.68181818181819
40,0,honda prelude,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,102.84883720930233,80.4090909090909
41,0,honda accord,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,119.70930232558139,93.5909090909091
42,0,honda civic,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,128.16831683168317,117.68181818181819
43,1,honda civic (auto),gas,std,2,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,103.45,94.04545454545455
44,0,isuzu MU-X,gas,std,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,86.98717948717949,61.126126126126124
45,1,isuzu D-Max ,gas,std,2,sedan,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,127.37857142857143,99.07222222222222
46,0,isuzu D-Max V-Cross,gas,std,4,sedan,fwd,front,94.5,155.9,63.6,52.0,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,127.37857142857143,99.07222222222222
47,2,isuzu D-Max ,gas,std,2,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,4,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,122.75555555555556,92.84033613445378
48,0,jaguar xj,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,183.23863636363637,125.0
49,0,jaguar xf,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,201.98863636363637,137.7906976744186
50,0,jaguar xk,gas,std,2,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,137.40458015267177,110.42944785276073
51,1,maxda rx3,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,76.3970588235294,57.08791208791209
52,1,maxda glc deluxe,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,89.63235294117646,66.97802197802197
53,1,mazda rx2 coupe,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,99.92647058823529,74.67032967032966
54,1,mazda rx-4,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,98.45588235294117,73.57142857142857
55,1,mazda glc deluxe,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,108.75,81.26373626373626
56,3,mazda 626,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,108.36633663366337,156.35714285714286
57,3,mazda glc,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,117.27722772277228,169.21428571428572
58,3,mazda rx-7 gs,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,135.0990099009901,194.92857142857142
59,3,mazda glc 4,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,2,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0,115.88888888888889,195.5625
60,1,mazda 626,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,105.29761904761905,72.5
61,0,mazda glc custom l,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,101.13095238095238,69.6311475409836
62,1,mazda glc custom,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,126.13095238095238,86.84426229508196
63,0,mazda rx-4,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,121.96428571428571,83.97540983606558
64,0,mazda glc deluxe,diesel,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0,168.671875,88.48360655737704
65,0,mazda 626,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,133.86904761904762,92.17213114754098
66,0,mazda glc,gas,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,152.33333333333334,130.57142857142858
67,0,mazda rx-7 gs,diesel,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,254.77777777777777,136.8955223880597
68,-1,buick electra 225 custom,diesel,turbo,4,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,207.739837398374,139.62841530054644
69,-1,buick century luxus (sw),diesel,turbo,4,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,229.65853658536585,154.36065573770492
70,0,buick century,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,229.0731707317073,153.9672131147541
71,-1,buick skyhawk,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,256.9105691056911,172.6775956284153
72,-1,buick opel isuzu deluxe,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0,220.54193548387096,146.0854700854701
73,3,buick skylark,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0,226.16774193548386,149.81196581196582
74,0,buick century special,gas,std,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0,222.6086956521739,132.98701298701297
75,1,buick regal sport coupe (turbo),gas,std,2,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,8,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0,246.7391304347826,149.3421052631579
76,1,mercury cougar,gas,turbo,2,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,4,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0,94.30285714285715,117.87857142857143
77,2,mitsubishi mirage,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,79.25,58.57608695652174
78,2,mitsubishi lancer,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,91.01470588235294,67.27173913043478
79,2,mitsubishi outlander,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,98.07352941176471,72.48913043478261
80,1,mitsubishi g4,gas,turbo,2,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,75.38235294117646,78.45918367346938
81,3,mitsubishi mirage g4,gas,turbo,2,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,85.85344827586206,90.53636363636363
82,3,mitsubishi g4,gas,std,2,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,96.57954545454545,69.6639344262295
83,3,mitsubishi outlander,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,87.09655172413792,80.9551282051282
84,3,mitsubishi g4,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,102.54482758620689,95.31410256410257
85,3,mitsubishi mirage g4,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,99.92413793103448,92.87820512820512
86,1,mitsubishi montero,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,79.42045454545455,57.28688524590164
87,1,mitsubishi pajero,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,93.05681818181819,67.12295081967213
88,1,mitsubishi outlander,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,79.99137931034483,84.35454545454546
89,-1,mitsubishi mirage g4,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,79.99137931034483,84.35454545454546
90,1,Nissan versa,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,79.69565217391305,56.69072164948454
91,1,nissan gt-r,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,129.07272727272726,68.92233009708738
92,1,nissan rogue,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,96.3623188405797,68.54639175257732
93,1,nissan latio,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,99.26086956521739,70.6082474226804
94,1,nissan titan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,106.5072463768116,75.76288659793815
95,1,nissan leaf,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,105.78260869565217,75.24742268041237
96,1,nissan juke,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,113.02898550724638,80.4020618556701
97,1,nissan latio,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,108.68115942028986,77.30927835051547
98,1,nissan note,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,115.92753623188406,82.4639175257732
99,2,nissan clipper,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,119.55072463768116,85.04123711340206
100,0,nissan rogue,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,92.25773195876289,74.575
101,0,nissan nv200,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,98.44329896907216,79.575
102,0,nissan dayz,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,88.8092105263158,74.58011049723757
103,0,nissan fuga,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,94.73026315789474,79.5524861878453
104,0,nissan otti,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,88.8092105263158,74.58011049723757
105,3,nissan teana,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,107.49375,95.02209944751381
106,3,nissan kicks,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,98.495,108.8342541436464
107,1,nissan clipper,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,114.99375,101.65193370165746
108,0,peugeot 504,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,122.68041237113403,99.16666666666667
109,0,peugeot 304,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,138.94736842105263,86.84210526315789
110,0,peugeot 504 (sw),gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,128.24742268041237,103.66666666666667
111,0,peugeot 504,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,13860.0,145.89473684210526,91.1842105263158
112,0,peugeot 504,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,164.0,129.83333333333334
113,0,peugeot 604sl,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,177.89473684210526,111.1842105263158
114,0,peugeot 504,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,175.73684210526315,139.125
115,0,peugeot 505s turbo diesel,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,179.73684210526315,112.33552631578948
116,0,peugeot 504,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,171.44329896907217,138.58333333333334
117,0,peugeot 504,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,188.94736842105263,118.09210526315789
118,0,peugeot 604sl,gas,turbo,4,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,127.8169014084507,135.44776119402985
119,1,plymouth fury iii,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,81.94117647058823,61.91111111111111
120,1,plymouth cricket,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,78.00980392156863,81.1938775510204
121,1,plymouth fury iii,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,91.6029411764706,69.21111111111111
122,1,plymouth satellite custom (sw),gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,98.41176470588235,74.35555555555555
123,1,plymouth fury gran sedan,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,111.8970588235294,77.64285714285714
124,-1,plymouth valiant,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,101.375,73.12295081967213
125,3,plymouth duster,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,88.02758620689656,81.82051282051282
126,3,porsche macan,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,153.97202797202797,145.81456953642385
127,3,porcshce panamera,gas,std,2,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0,157.1400966183575,167.6701030927835
128,3,porsche cayenne,gas,std,2,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0,164.38647342995168,175.4020618556701
129,3,porsche boxter,gas,std,2,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0,178.87922705314008,190.8659793814433
130,1,porsche cayenne,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5,109.02951388888889,154.6822660098522
131,0,renault 12tl,gas,std,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,103.27777777777777,70.41666666666667
132,2,renault 5 gtl,gas,std,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0,109.94444444444444,74.96212121212122
